,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
35,"Census Tract 130.01, Providence County, Rhode Island",,1855,239,,145,,134,,44,,73,,72,,7,,1800,15,0,92857,2010,1158,19,198,472,310,159,1158,1083,75,3392,3246,9,0,15,111,3357,28,0,83,0,44,7,13001,,,,,89.55223880597015,0.7462686567164178,1.6407599309153715,5994.736842105263,6.476683937823833,93.52331606217616,95.69575471698113,4.304245283018868,2019
36,"Census Tract 130.02, Providence County, Rhode Island",,4207,921,,498,,360,,115,,156,,31,,81,,4069,17,67,86833,4263,2828,144,677,1206,512,289,2828,2292,536,8127,7329,96,0,332,275,7535,290,69,413,0,44,7,13002,,,,,95.44921416842598,0.39878020173586676,5.091937765205092,1863.888888888889,18.95332390381895,81.04667609618105,90.18087855297158,9.819121447028424,2019
37,"Census Tract 131.01, Providence County, Rhode Island",80655.0,2517,230,9315.0,303,8945.0,333,9015.0,188,4430.0,88,2035.0,95,1740.0,42,1110.0,2470,34,13,88961,2585,1795,27,479,693,341,255,1795,1570,225,4982,4783,27,8,0,154,4937,39,136,14,0,44,7,13101,32.04410011918951,34.25891181988743,25.806142034548945,20.628415300546447,95.55125725338492,1.3152804642166345,1.5041782729805013,6548.148148148148,12.534818941504177,87.46518105849582,96.00562023283821,3.994379767161783,2019
38,"Census Tract 140, Providence County, Rhode Island",,3023,398,,368,,235,,76,,228,,83,,17,,2929,45,49,72726,3075,2284,91,992,966,194,41,2284,1801,483,6360,4393,583,90,748,133,4486,659,103,765,0,44,7,14000,,,,,95.2520325203252,1.4634146341463417,3.9842381786339756,2409.8901098901097,21.147110332749563,78.85288966725044,69.07232704402516,30.927672955974845,2019
39,"Census Tract 144, Providence County, Rhode Island",,1692,256,,271,,362,,161,,146,,8,,0,,1640,52,0,80720,1795,1727,86,764,657,197,23,1727,1400,327,3536,3237,26,0,96,95,3321,79,11,138,0,44,7,14400,,,,,91.36490250696379,2.896935933147632,4.979733642154025,1908.139534883721,18.934568616097277,81.06543138390272,91.54411764705883,8.455882352941178,2019
40,"Census Tract 170, Providence County, Rhode Island",,2417,477,,118,,272,,89,,151,,37,,8,,2353,37,0,69063,2425,1714,57,737,686,181,53,1714,1211,503,4312,3477,228,0,210,128,3561,322,0,244,0,44,7,17000,,,,,97.03092783505156,1.5257731958762888,3.325554259043174,2907.017543859649,29.346557759626606,70.6534422403734,80.63543599257885,19.36456400742115,2019
41,"Census Tract 151, Providence County, Rhode Island",,2087,368,,93,,129,,148,,235,,57,,22,,1786,219,22,36027,2118,1710,389,757,363,174,27,1710,526,1184,4685,1712,1459,0,91,522,1977,1881,173,120,68,44,7,15100,,,,,84.32483474976394,10.339943342776204,22.748538011695906,339.58868894601545,69.23976608187135,30.760233918128655,36.54215581643543,63.457844183564575,2019
42,"Census Tract 154, Providence County, Rhode Island",,1066,149,,46,,137,,33,,13,,30,,6,,954,36,37,46250,1072,842,127,414,225,46,30,842,186,656,2367,1243,417,12,66,207,1367,536,83,66,0,44,7,15400,,,,,88.99253731343283,3.3582089552238807,15.08313539192399,562.992125984252,77.90973871733968,22.090261282660332,52.51373046049852,47.48626953950148,2019
43,"Census Tract 160, Providence County, Rhode Island",45445.0,1764,200,6800.0,185,4200.0,31,400.0,60,1205.0,181,3955.0,31,1270.0,0,-666666666.0,1613,24,85,46908,1784,1536,161,883,475,0,17,1536,384,1152,3454,2016,850,95,17,164,2032,947,196,17,0,44,7,16000,25.7624716553288,28.571428571428573,17.63736263736264,24.64622641509434,90.41479820627802,1.345291479820628,10.481770833333332,854.0372670807453,75.0,25.0,58.36711059640996,41.63288940359004,2019
44,"Census Tract 168, Providence County, Rhode Island",,1514,153,,224,,147,,71,,20,,25,,0,,1441,16,0,52171,1560,1183,66,429,482,156,50,1183,730,453,3101,2461,192,42,34,171,2632,318,49,34,9,44,7,16800,,,,,92.37179487179488,1.0256410256410255,5.579036348267118,1692.4242424242425,38.29247675401521,61.70752324598479,79.36149629151886,20.638503708481135,2019
45,"Census Tract 169, Providence County, Rhode Island",,929,181,,122,,143,,26,,100,,8,,0,,856,52,8,83833,940,710,18,227,365,89,11,710,604,106,1682,1606,55,0,0,21,1620,76,7,0,0,44,7,16900,,,,,91.06382978723404,5.531914893617021,2.535211267605634,3844.4444444444443,14.929577464788732,85.07042253521126,95.48156956004756,4.5184304399524375,2019
46,"Census Tract 174, Providence County, Rhode Island",,1597,199,,151,,89,,33,,14,,0,,22,,1553,7,0,37332,1653,1591,321,535,606,121,8,1591,526,1065,4411,2625,444,0,510,471,2957,639,57,712,0,44,7,17400,,,,,93.9503932244404,0.42347247428917123,20.175989943431805,395.63862928348914,66.93903205531112,33.060967944688876,59.5103151212877,40.48968487871231,2019
47,"Census Tract 28, Providence County, Rhode Island",,2610,390,,93,,231,,147,,80,,0,,38,,2498,112,0,41136,2656,2213,528,737,756,96,96,2213,841,1372,6395,2895,2219,74,0,37,2895,2256,111,0,140,44,7,2800,,,,,94.05120481927712,4.216867469879518,23.85901491188432,319.1287878787879,61.997288748305465,38.002711251694535,45.2697419859265,54.7302580140735,2019
48,"Census Tract 157, Providence County, Rhode Island",,1517,165,,321,,180,,50,,64,,53,,0,,1448,37,15,66300,1539,1306,104,589,469,117,27,1306,915,391,3263,2962,75,2,153,33,2995,75,2,153,0,44,7,15700,,,,,94.08706952566601,2.4041585445094213,7.9632465543644715,1155.769230769231,29.93874425727412,70.06125574272588,90.77536009806926,9.224639901930738,2019
49,"Census Tract 107.02, Providence County, Rhode Island",60285.0,2171,349,10225.0,271,8265.0,234,4740.0,181,3220.0,165,3150.0,65,2885.0,0,-666666666.0,2089,61,21,76174,2244,1687,58,594,743,200,92,1687,1402,285,3964,3747,24,0,36,144,3805,128,86,76,0,44,7,10702,27.768309534776602,29.822580645161292,19.180722891566266,26.23913043478261,93.09269162210339,2.7183600713012477,3.438055720213397,2808.620689655172,16.893894487255483,83.10610551274452,94.52573158425832,5.474268415741675,2019
50,"Census Tract 115, Providence County, Rhode Island",75925.0,2876,416,11485.0,388,8295.0,354,10805.0,189,4720.0,366,8010.0,136,2835.0,48,1285.0,2779,41,9,64769,2963,2568,323,987,949,215,94,2568,1186,1382,6542,5942,93,0,308,95,6037,149,4,343,0,44,7,11500,26.39951321279555,24.601990049751244,28.591160220994475,21.60358565737052,93.7900776240297,1.3837327033412081,12.577881619937695,695.046439628483,53.81619937694704,46.18380062305296,90.82849281565271,9.171507184347295,2019
51,"Census Tract 139, Providence County, Rhode Island",,1462,237,,315,,180,,113,,44,,40,,22,,1422,21,0,59770,1524,1476,116,775,455,36,94,1476,945,531,2877,2454,12,0,361,0,2454,12,0,361,0,44,7,13900,,,,,93.30708661417323,1.3779527559055118,7.8590785907859075,1172.4137931034481,35.97560975609756,64.02439024390245,85.29718456725756,14.702815432742439,2019
52,"Census Tract 180, Providence County, Rhode Island",,999,50,,8,,91,,31,,71,,35,,49,,911,0,13,24615,1001,1428,538,545,303,13,29,1428,130,1298,2838,2079,327,0,207,39,2118,327,39,207,0,44,7,18000,,,,,91.00899100899102,0.0,37.675070028011206,165.42750929368032,90.89635854341736,9.103641456582633,73.25581395348837,26.744186046511626,2019
53,"Census Tract 163, Providence County, Rhode Island",,1755,123,,182,,181,,97,,132,,6,,47,,1703,52,0,70750,1778,1108,57,388,514,115,34,1108,888,220,3000,1518,968,0,44,298,1768,1025,25,51,16,44,7,16300,,,,,95.78177727784028,2.924634420697413,5.144404332129964,1843.8596491228068,19.855595667870034,80.14440433212997,50.6,49.4,2019
54,"Census Tract 13, Providence County, Rhode Island",,1767,194,,160,,575,,83,,173,,42,,0,,1522,65,22,52531,1969,1401,173,664,474,78,12,1401,425,976,3933,1966,415,0,250,41,1999,423,10,271,0,44,7,1300,,,,,77.29812087353987,3.3011681056373794,12.348322626695216,709.8265895953757,69.66452533904354,30.335474660956457,49.98728705822527,50.01271294177473,2019
55,"Census Tract 102, Providence County, Rhode Island",,3577,470,,649,,769,,117,,0,,85,,0,,3196,302,47,54058,3618,2635,382,996,959,167,131,2635,1330,1305,7162,5214,669,8,225,580,5605,1138,19,225,31,44,7,10200,,,,,88.33609729132117,8.347153123272525,14.497153700189752,589.7905759162303,49.52561669829222,50.47438330170778,72.80089360513823,27.199106394861772,2019
56,"Census Tract 142, Providence County, Rhode Island",23905.0,1094,142,3725.0,148,2585.0,207,3885.0,62,625.0,38,645.0,32,975.0,16,805.0,1063,14,12,93427,1143,809,10,281,429,65,24,809,704,105,5188,3190,694,61,270,288,3360,859,221,314,29,44,7,14200,21.851005484460696,21.75862068965517,16.765799256505577,23.142857142857142,93.00087489063867,1.2248468941382327,1.2360939431396787,7990.000000000001,12.978986402966624,87.02101359703337,61.48804934464148,38.51195065535852,2019
57,"Census Tract 146, Providence County, Rhode Island",,2955,449,,318,,477,,321,,194,,87,,68,,2859,25,33,89329,3116,2380,14,627,1109,471,159,2380,2246,134,6580,5887,100,0,320,254,6141,281,0,393,0,44,7,14600,,,,,91.75224646983312,0.8023106546854942,0.5882352941176471,16900.0,5.630252100840337,94.36974789915966,89.46808510638297,10.53191489361702,2019
58,"Census Tract 132.02, Providence County, Rhode Island",,3292,644,,347,,640,,53,,122,,193,,0,,3292,0,0,94978,3373,2223,0,468,867,571,317,2223,1960,263,5704,5553,31,0,52,68,5621,54,0,97,45,44,7,13202,,,,,97.5985769344797,0.0,0.0,inf,11.830859199280253,88.16914080071975,97.35273492286115,2.64726507713885,2019
59,"Census Tract 137.01, Providence County, Rhode Island",,2367,342,,269,,240,,188,,143,,171,,22,,2174,80,27,62756,2467,1718,98,669,787,93,71,1718,975,743,4369,3474,279,37,364,79,3504,328,86,373,30,44,7,13701,,,,,88.12322659100121,3.2428050263477908,5.70430733410943,1653.061224489796,43.247962747380676,56.752037252619324,79.51476310368506,20.485236896314944,2019
60,"Census Tract 138, Providence County, Rhode Island",,2991,396,,585,,411,,88,,144,,52,,9,,2879,61,17,83398,2991,1863,108,630,710,237,178,1863,1384,479,5031,4152,427,0,27,329,4481,562,165,48,0,44,7,13800,,,,,96.25543296556336,2.039451688398529,5.797101449275362,1625.0,25.71121846484165,74.28878153515835,82.52832438878951,17.471675611210493,2019
61,"Census Tract 171, Providence County, Rhode Island",,1958,249,,119,,217,,96,,99,,129,,11,,1886,30,0,41880,2004,1657,222,586,653,149,47,1657,759,898,4433,2757,447,0,77,186,2884,536,74,115,30,44,7,17100,,,,,94.11177644710578,1.4970059880239521,13.397706698853348,646.3963963963964,54.19432709716355,45.805672902836456,62.19264606361381,37.80735393638619,2019
