"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 15, Providence County, Rhode Island","","1642","299","","304","","150","","164","","104","","20","","0","","1541","84","17","60938","1657","996","63","402","358","156","17","996","616","380","3243","1497","428","55","471","236","1706","574","183","471","27","44","007","001500"
"Census Tract 113.01, Providence County, Rhode Island","","2419","322","","359","","335","","163","","161","","0","","11","","2364","45","0","84150","2435","1819","112","562","762","220","163","1819","1418","401","4796","4410","193","0","0","24","4434","193","24","0","0","44","007","011301"
"Census Tract 114.01, Providence County, Rhode Island","","4405","659","","693","","657","","343","","393","","18","","16","","4266","104","15","113250","4615","3415","269","756","1568","616","206","3415","2807","608","9131","8640","2","0","343","146","8786","22","126","343","0","44","007","011401"
"Census Tract 118, Providence County, Rhode Island","","3195","666","","589","","272","","107","","156","","0","","165","","3128","67","0","47035","3339","2623","255","942","952","336","138","2623","1485","1138","7136","5354","1048","0","164","441","5659","1443","41","210","0","44","007","011800"
"Census Tract 8, Providence County, Rhode Island","","1795","108","","197","","196","","171","","162","","98","","109","","810","221","52","34850","2081","1951","951","834","157","9","0","1951","245","1706","4595","2679","546","93","807","245","2853","690","129","873","41","44","007","000800"
"Census Tract 34, Providence County, Rhode Island","","2081","202","","409","","502","","351","","125","","102","","0","","1805","139","39","178235","2272","1806","110","521","934","241","0","1806","1566","240","4510","3986","2","2","353","156","4123","2","2","500","86","44","007","003400"
"Census Tract 105.01, Providence County, Rhode Island","48830","2110","299","7415","271","6045","242","3935","116","2855","145","1875","52","2100","28","280","1927","110","20","57946","2150","1807","198","679","696","175","59","1807","1269","538","4606","3500","685","27","52","186","3677","827","69","63","0","44","007","010501"
"Census Tract 103, Providence County, Rhode Island","","1637","190","","250","","297","","125","","106","","67","","20","","1572","19","32","37246","1716","1674","351","593","545","134","51","1674","905","769","3786","3016","373","0","0","361","3297","469","86","93","21","44","007","010300"
"Census Tract 114.02, Providence County, Rhode Island","","2173","337","","537","","262","","9","","119","","30","","27","","2102","50","0","117955","2278","1462","41","262","715","356","88","1462","1384","78","3938","3780","1","0","104","53","3833","1","0","104","8","44","007","011402"
"Census Tract 121.02, Providence County, Rhode Island","50860","2216","337","8395","298","5435","355","7920","69","1165","48","1130","61","2425","47","690","2159","39","8","54957","2264","1941","127","899","687","202","26","1941","1091","850","4351","3701","193","16","166","35","3736","202","16","192","0","44","007","012102"
"Census Tract 129, Providence County, Rhode Island","","2488","595","","248","","61","","15","","144","","57","","0","","2278","15","93","73684","2515","1994","145","598","914","218","119","1994","1075","919","5069","4859","1","0","91","80","4939","22","21","129","0","44","007","012900"
"Census Tract 135, Providence County, Rhode Island","51640","2413","275","5180","247","4460","394","6550","229","5400","121","2530","121","3285","61","2000","2108","150","36","65107","2536","1839","132","746","701","213","47","1839","944","895","4654","3267","463","14","403","314","3516","579","26","583","0","44","007","013500"
"Census Tract 137.02, Providence County, Rhode Island","","1553","440","","158","","159","","114","","119","","49","","0","","1431","86","15","69821","1580","1115","34","465","378","188","50","1115","772","343","3159","2451","121","0","57","268","2550","317","15","159","128","44","007","013702"
"Census Tract 143, Providence County, Rhode Island","","2345","539","","279","","277","","93","","59","","251","","120","","2174","0","9","72273","2421","1990","242","683","780","206","79","1990","1415","575","4997","4140","30","0","587","161","4216","30","0","613","85","44","007","014300"
"Census Tract 110, Providence County, Rhode Island","","2612","328","","152","","138","","91","","79","","66","","18","","2402","134","11","34944","2633","1861","350","919","414","145","33","1861","441","1420","6024","2601","537","39","0","395","2974","843","61","22","22","44","007","011000"
"Census Tract 117.02, Providence County, Rhode Island","44765","2101","330","7600","236","4700","269","6040","269","4705","112","1580","96","1175","85","1380","2059","1","41","80179","2154","1499","18","394","659","231","197","1499","1234","265","4209","3835","122","0","72","84","3919","187","0","91","24","44","007","011702"
"Census Tract 123, Providence County, Rhode Island","","3607","663","","433","","357","","257","","138","","94","","42","","3510","48","0","60066","3654","2581","94","995","1016","287","189","2581","1815","766","6982","6492","254","1","39","101","6593","342","1","52","0","44","007","012300"
"Census Tract 125, Providence County, Rhode Island","","2109","240","","118","","416","","90","","102","","17","","33","","2064","19","0","51035","2327","2413","241","1237","708","137","90","2413","1128","1285","4837","4216","224","31","18","135","4351","263","81","64","0","44","007","012500"
"Census Tract 126.01, Providence County, Rhode Island","29750","1599","165","4470","204","3775","112","2215","153","3205","43","785","86","1385","30","110","1010","10","28","87969","1785","669","13","175","344","132","5","669","557","112","4379","3576","212","13","352","166","3718","222","65","415","20","44","007","012601"
"Census Tract 127.01, Providence County, Rhode Island","","2314","436","","352","","180","","159","","183","","9","","0","","2244","0","7","96409","2330","1796","233","336","798","351","78","1796","1448","348","4868","4593","68","0","84","2","4595","68","2","84","0","44","007","012701"
"Census Tract 128.01, Providence County, Rhode Island","","2255","416","","127","","310","","4","","103","","0","","16","","2222","0","24","66591","2549","2096","192","651","584","418","251","2096","1508","588","5579","5318","238","0","0","23","5341","261","0","0","0","44","007","012801"
"Census Tract 130.01, Providence County, Rhode Island","","1855","239","","145","","134","","44","","73","","72","","7","","1800","15","0","92857","2010","1158","19","198","472","310","159","1158","1083","75","3392","3246","9","0","15","111","3357","28","0","83","0","44","007","013001"
"Census Tract 130.02, Providence County, Rhode Island","","4207","921","","498","","360","","115","","156","","31","","81","","4069","17","67","86833","4263","2828","144","677","1206","512","289","2828","2292","536","8127","7329","96","0","332","275","7535","290","69","413","0","44","007","013002"
"Census Tract 131.01, Providence County, Rhode Island","80655","2517","230","9315","303","8945","333","9015","188","4430","88","2035","95","1740","42","1110","2470","34","13","88961","2585","1795","27","479","693","341","255","1795","1570","225","4982","4783","27","8","0","154","4937","39","136","14","0","44","007","013101"
"Census Tract 140, Providence County, Rhode Island","","3023","398","","368","","235","","76","","228","","83","","17","","2929","45","49","72726","3075","2284","91","992","966","194","41","2284","1801","483","6360","4393","583","90","748","133","4486","659","103","765","0","44","007","014000"
"Census Tract 144, Providence County, Rhode Island","","1692","256","","271","","362","","161","","146","","8","","0","","1640","52","0","80720","1795","1727","86","764","657","197","23","1727","1400","327","3536","3237","26","0","96","95","3321","79","11","138","0","44","007","014400"
"Census Tract 170, Providence County, Rhode Island","","2417","477","","118","","272","","89","","151","","37","","8","","2353","37","0","69063","2425","1714","57","737","686","181","53","1714","1211","503","4312","3477","228","0","210","128","3561","322","0","244","0","44","007","017000"
"Census Tract 151, Providence County, Rhode Island","","2087","368","","93","","129","","148","","235","","57","","22","","1786","219","22","36027","2118","1710","389","757","363","174","27","1710","526","1184","4685","1712","1459","0","91","522","1977","1881","173","120","68","44","007","015100"
"Census Tract 154, Providence County, Rhode Island","","1066","149","","46","","137","","33","","13","","30","","6","","954","36","37","46250","1072","842","127","414","225","46","30","842","186","656","2367","1243","417","12","66","207","1367","536","83","66","0","44","007","015400"
"Census Tract 160, Providence County, Rhode Island","45445","1764","200","6800","185","4200","31","400","60","1205","181","3955","31","1270","0","-666666666","1613","24","85","46908","1784","1536","161","883","475","0","17","1536","384","1152","3454","2016","850","95","17","164","2032","947","196","17","0","44","007","016000"
"Census Tract 168, Providence County, Rhode Island","","1514","153","","224","","147","","71","","20","","25","","0","","1441","16","0","52171","1560","1183","66","429","482","156","50","1183","730","453","3101","2461","192","42","34","171","2632","318","49","34","9","44","007","016800"
"Census Tract 169, Providence County, Rhode Island","","929","181","","122","","143","","26","","100","","8","","0","","856","52","8","83833","940","710","18","227","365","89","11","710","604","106","1682","1606","55","0","0","21","1620","76","7","0","0","44","007","016900"
"Census Tract 174, Providence County, Rhode Island","","1597","199","","151","","89","","33","","14","","0","","22","","1553","7","0","37332","1653","1591","321","535","606","121","8","1591","526","1065","4411","2625","444","0","510","471","2957","639","57","712","0","44","007","017400"
"Census Tract 28, Providence County, Rhode Island","","2610","390","","93","","231","","147","","80","","0","","38","","2498","112","0","41136","2656","2213","528","737","756","96","96","2213","841","1372","6395","2895","2219","74","0","37","2895","2256","111","0","140","44","007","002800"
"Census Tract 157, Providence County, Rhode Island","","1517","165","","321","","180","","50","","64","","53","","0","","1448","37","15","66300","1539","1306","104","589","469","117","27","1306","915","391","3263","2962","75","2","153","33","2995","75","2","153","0","44","007","015700"
"Census Tract 107.02, Providence County, Rhode Island","60285","2171","349","10225","271","8265","234","4740","181","3220","165","3150","65","2885","0","-666666666","2089","61","21","76174","2244","1687","58","594","743","200","92","1687","1402","285","3964","3747","24","0","36","144","3805","128","86","76","0","44","007","010702"
"Census Tract 115, Providence County, Rhode Island","75925","2876","416","11485","388","8295","354","10805","189","4720","366","8010","136","2835","48","1285","2779","41","9","64769","2963","2568","323","987","949","215","94","2568","1186","1382","6542","5942","93","0","308","95","6037","149","4","343","0","44","007","011500"
"Census Tract 139, Providence County, Rhode Island","","1462","237","","315","","180","","113","","44","","40","","22","","1422","21","0","59770","1524","1476","116","775","455","36","94","1476","945","531","2877","2454","12","0","361","0","2454","12","0","361","0","44","007","013900"
"Census Tract 180, Providence County, Rhode Island","","999","50","","8","","91","","31","","71","","35","","49","","911","0","13","24615","1001","1428","538","545","303","13","29","1428","130","1298","2838","2079","327","0","207","39","2118","327","39","207","0","44","007","018000"
"Census Tract 163, Providence County, Rhode Island","","1755","123","","182","","181","","97","","132","","6","","47","","1703","52","0","70750","1778","1108","57","388","514","115","34","1108","888","220","3000","1518","968","0","44","298","1768","1025","25","51","16","44","007","016300"
"Census Tract 13, Providence County, Rhode Island","","1767","194","","160","","575","","83","","173","","42","","0","","1522","65","22","52531","1969","1401","173","664","474","78","12","1401","425","976","3933","1966","415","0","250","41","1999","423","10","271","0","44","007","001300"
