Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
25,"Census Tract 24, Providence County, Rhode Island",,3456,382,,489,,474,,170,,165,,79,,136,,2676,192,62,58407,3636,2117,72,923,819,223,80,2117,1571,546,8234,6858,961,13,29,98,6956,984,13,70,14,44,7,2400,,,,,73.5973597359736,5.2805280528052805,3.401039206424185,2840.277777777778,25.79121398205007,74.20878601794992,83.28880252611125,16.711197473888753,2010
26,"Census Tract 25, Providence County, Rhode Island",,1576,216,,264,,305,,76,,101,,32,,0,,1114,212,13,48594,1624,1311,213,851,188,42,17,1311,256,1055,2919,1327,243,24,310,56,1383,243,80,310,0,44,7,2500,,,,,68.59605911330048,13.054187192118228,16.247139588100687,515.4929577464789,80.47292143401982,19.52707856598017,45.46077423775265,54.53922576224735,2010
27,"Census Tract 26, Providence County, Rhode Island",,1155,126,,71,,181,,71,,130,,48,,0,,809,228,20,24135,1218,1210,306,513,291,80,20,1210,248,962,3159,1183,875,8,346,97,1256,936,30,357,23,44,7,2600,,,,,66.42036124794745,18.7192118226601,25.28925619834711,295.4248366013072,79.50413223140495,20.49586776859504,37.4485596707819,62.55144032921811,2010
28,"Census Tract 27, Providence County, Rhode Island",,1744,156,,295,,198,,64,,145,,83,,34,,1246,111,0,19173,1803,1571,453,700,294,64,60,1571,393,1178,5397,2651,950,35,66,211,2851,1039,132,66,19,44,7,2700,,,,,69.10704381586245,6.156405990016639,28.83513685550605,246.7991169977925,74.98408656906429,25.01591343093571,49.119881415601256,50.88011858439874,2010
29,"Census Tract 28, Providence County, Rhode Island",,2361,410,,335,,315,,115,,19,,95,,55,,2102,132,15,36341,2372,2490,660,977,646,182,25,2490,986,1504,6284,3603,1818,11,19,90,3667,1859,62,19,0,44,7,2800,,,,,88.61720067453625,5.564924114671164,26.506024096385545,277.2727272727273,60.401606425702816,39.598393574297184,57.33609166136219,42.66390833863781,2010
30,"Census Tract 29, Providence County, Rhode Island",,3287,441,,219,,493,,103,,230,,34,,65,,2963,182,39,34365,3287,2971,452,1270,894,318,37,2971,1329,1642,6950,3528,1779,0,244,330,3788,2013,24,269,0,44,7,2900,,,,,90.14298752662002,5.536963796775175,15.213732749915854,557.3008849557522,55.26758667115449,44.7324133288455,50.76258992805756,49.23741007194244,2010
31,"Census Tract 31, Providence County, Rhode Island",,1390,179,,106,,140,,198,,140,,35,,15,,915,175,35,25288,1461,2048,607,984,377,66,14,2048,377,1671,3953,2041,1001,33,521,121,2134,1040,55,542,0,44,7,3100,,,,,62.62833675564682,11.978097193702943,29.638671875,237.3970345963756,81.591796875,18.408203125,51.6316721477359,48.3683278522641,2010
32,"Census Tract 32, Providence County, Rhode Island",,1716,197,,243,,231,,267,,212,,170,,19,,1334,180,22,62716,1802,1571,150,732,626,44,19,1571,786,785,3457,2369,384,0,155,306,2625,447,281,155,0,44,7,3200,,,,,74.02885682574917,9.988901220865705,9.548058561425844,947.3333333333331,49.96817313812858,50.03182686187142,68.52762510847555,31.47237489152444,2010
33,"Census Tract 33, Providence County, Rhode Island",,2558,459,,542,,417,,283,,204,,37,,166,,2207,184,44,70667,2608,1886,68,892,787,103,36,1886,1116,770,3952,3201,113,0,302,266,3467,192,20,450,0,44,7,3300,,,,,84.62423312883436,7.05521472392638,3.6055143160127257,2673.529411764706,40.8271474019088,59.1728525980912,80.99696356275304,19.00303643724697,2010
34,"Census Tract 34, Providence County, Rhode Island",,2415,239,,405,,461,,206,,255,,113,,15,,2241,63,0,117212,2608,2065,105,754,987,164,55,2065,1564,501,4926,4532,88,0,189,117,4632,105,0,289,0,44,7,3400,,,,,85.92791411042946,2.415644171779141,5.084745762711865,1866.6666666666667,24.26150121065375,75.73849878934624,92.0016240357288,7.998375964271213,2010
