Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_one_car,pct_households_two_cars,pct_households_three_cars,pct_households_four_more_cars,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year,zip
10,ZCTA5,217265.0,10106,1552,37755.0,1401,31865.0,1326,24700.0,525,8310.0,824,12350.0,344,5170.0,194,2590.0,201245.0,12815.0,-666666666.0,9642,254,0,58163.0,10354,7801,378,3131,3128,823,341,7801,5306,2495,20613,16159,990,60,2007,588,16694,1272,118,2250,26,44,2910,21.49861468434593,23.57602438198442,17.833603457590492,15.0,20.87170711470649,50.45275590551181,93.12343055823835,2.453158199729573,4.845532624022561,40.13588001538264,40.09742340725548,10.549929496218434,4.371234457120882,95.15446737597745,31.98307909242405,68.01692090757595,78.39227671857566,21.60772328142434,2015,02910
11,ZCTA5,206630.0,9795,1118,29755.0,1292,22670.0,1339,25185.0,526,9410.0,666,12015.0,366,5155.0,189,2170.0,,,,9029,557,56,45295.0,9848,8768,1156,3850,2828,748,186,8768,4276,4492,21971,16158,2243,39,498,1923,17318,3676,484,541,151,44,2914,21.09545686574783,21.75311203319502,18.549597855227884,16.637596899224807,,,91.68359057676686,5.655970755483347,13.184306569343066,43.90967153284672,32.253649635036496,8.531021897810218,2.1213503649635035,86.81569343065694,51.23175182481752,48.768248175182485,73.54239679577626,26.45760320422375,2015,02914
12,ZCTA5,176895.0,7681,1317,31245.0,1135,25595.0,840,16530.0,688,14950.0,324,6000.0,224,5245.0,29,340.0,,,,7463,100,28,53750.0,7872,7343,573,3005,2870,690,205,7343,4605,2738,16515,14866,459,22,633,476,15255,562,95,838,0,44,2915,23.03020440046869,23.181076672104403,20.602094240837697,20.52007299270073,,,94.80436991869918,1.2703252032520325,7.803350129374915,40.92332833991557,39.08484270734032,9.396704344273456,2.791774479095737,92.19664987062508,37.28721231104453,62.712787688955466,90.01513775355737,9.984862246442628,2015,02915
13,ZCTA5,,6398,937,,983,,1178,,434,,530,,98,,33,,,,,6244,92,20,98666.0,6573,4217,130,1105,1707,713,562,4217,3585,632,12217,10875,310,19,602,233,11108,381,52,764,0,44,2921,,,,,,,94.99467518636848,1.3996652974288757,3.0827602561062366,26.203462176903013,40.47901351671805,16.90775432772113,13.327009722551578,96.91723974389376,14.986957552762629,85.01304244723738,89.01530654006712,10.98469345993288,2015,02921
14,ZCTA5,326505.0,14843,2126,51390.0,2044,41975.0,2142,40255.0,1026,24790.0,1023,19135.0,214,6015.0,123,2750.0,,,,14569,122,71,58634.0,15117,11765,744,4412,4293,1580,736,11765,8080,3685,29122,26221,595,204,875,792,26938,1034,505,954,0,44,2919,21.997237755170783,22.38968824940048,20.53188131313131,20.331447049312853,,,96.37494211814511,0.8070384335516305,6.323841903952402,37.50106247343816,36.489587760306,13.42966425839354,6.255843603909902,93.6761580960476,31.321716957076077,68.67828304292392,90.03845889705377,9.961541102946226,2015,02919
15,ZCTA5,,103,26,,14,,28,,0,,0,,18,,0,,,,,103,0,0,,103,62,0,0,49,13,0,62,62,0,130,112,0,0,0,18,130,0,0,18,18,44,2815,,,,,,,100.0,0.0,0.0,0.0,79.03225806451613,20.967741935483872,0.0,100.0,0.0,100.0,86.15384615384616,13.846153846153848,2015,02815
16,ZCTA5,,1580,327,,195,,260,,22,,130,,50,,0,,,,,1551,18,11,86696.0,1625,1266,30,364,520,229,123,1266,1127,139,3191,3149,1,23,0,18,3167,1,41,0,0,44,2831,,,,,,,95.44615384615383,1.1076923076923075,2.3696682464454977,28.751974723538705,41.07424960505529,18.088467614533965,9.71563981042654,97.6303317535545,10.979462875197472,89.02053712480253,98.68379818238796,1.3162018176120338,2015,02831
17,ZCTA5,,3104,519,,324,,146,,108,,130,,68,,9,,,,,2925,32,19,61204.0,3173,2460,65,708,982,517,188,2460,1758,702,7059,6775,28,0,45,166,6937,85,67,88,0,44,2859,,,,,,,92.1840529467381,1.0085092971950835,2.642276422764228,28.78048780487805,39.918699186991866,21.016260162601625,7.642276422764227,97.35772357723576,28.536585365853657,71.46341463414633,95.97676724748548,4.02323275251452,2015,02859
18,ZCTA5,474830.0,19978,2822,75920.0,2021,40530.0,1840,35760.0,1172,26270.0,1152,26645.0,433,10355.0,318,7330.0,400300.0,56905.0,7180.0,17832,1049,244,35953.0,20218,17973,3602,7881,4793,1279,418,17973,6046,11927,45372,25297,10411,147,673,2373,26801,11985,728,908,232,44,2860,23.767644408849733,24.045013421433,20.594289508632137,23.34384858044164,22.448407357559443,54.24690181124881,88.19863487981007,5.188445939262044,20.041172870416737,43.84910699382407,26.6677794469482,7.116229900406165,2.3257107884048294,79.95882712958327,66.36065208924498,33.63934791075502,55.7546504452085,44.2453495547915,2015,02860
19,ZCTA5,,4336,585,,928,,595,,429,,178,,107,,26,,,,,4174,74,60,63717.0,4422,3657,222,1348,1535,438,114,3657,2456,1201,8656,7770,399,0,155,255,7990,560,93,198,5,44,2916,,,,,,,94.39167797376751,1.6734509271822704,6.070549630844955,36.86081487558108,41.97429587093246,11.977030352748152,3.1173092698933558,93.92945036915503,32.84112660650806,67.15887339349193,89.76432532347505,10.235674676524956,2015,02916
