"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 206.04, Kent County, Rhode Island","","2719","451","","322","","226","","116","","109","","63","","75","","","","","2684","11","0","47486","44","003","020604"
"Census Tract 218, Kent County, Rhode Island","","2136","295","","227","","191","","117","","104","","111","","6","","","","","2100","9","0","66300","44","003","021800"
"Census Tract 207.02, Kent County, Rhode Island","","2583","398","","295","","327","","76","","138","","7","","57","","","","","2568","0","7","80708","44","003","020702"
"Census Tract 207.03, Kent County, Rhode Island","","3173","426","","447","","379","","247","","371","","127","","0","","","","","3124","15","18","76172","44","003","020703"
"Census Tract 151, Providence County, Rhode Island","","1810","223","","156","","24","","89","","230","","15","","41","","28890","9270","-666666666","1572","114","0","22902","44","007","015100"
"Census Tract 154, Providence County, Rhode Island","","1105","95","","83","","138","","49","","39","","45","","29","","","","","1011","43","24","40150","44","007","015400"
"Census Tract 160, Providence County, Rhode Island","","1638","291","","256","","140","","126","","80","","10","","12","","","","","1506","92","0","33850","44","007","016000"
"Census Tract 168, Providence County, Rhode Island","","1363","250","","151","","110","","19","","47","","23","","39","","","","","1291","14","0","50313","44","007","016800"
"Census Tract 169, Providence County, Rhode Island","","1034","127","","182","","177","","84","","78","","44","","4","","","","","1002","11","6","70804","44","007","016900"
"Census Tract 174, Providence County, Rhode Island","","1213","120","","110","","41","","54","","40","","12","","55","","","","","1050","23","57","22601","44","007","017400"
"Census Tract 28, Providence County, Rhode Island","","2460","206","","136","","255","","187","","82","","137","","64","","47620","4720","-666666666","2351","109","0","26532","44","007","002800"
"Census Tract 157, Providence County, Rhode Island","","1533","165","","181","","227","","42","","112","","88","","8","","","","","1482","14","25","55746","44","007","015700"
"Census Tract 107.02, Providence County, Rhode Island","","2135","358","","306","","249","","214","","31","","55","","17","","","","","2100","28","0","64375","44","007","010702"
"Census Tract 115, Providence County, Rhode Island","","3409","503","","374","","364","","233","","340","","13","","32","","","","","3368","31","10","62115","44","007","011500"
"Census Tract 139, Providence County, Rhode Island","","1454","194","","138","","215","","244","","141","","45","","7","","","","","1444","10","0","50139","44","007","013900"
"Census Tract 180, Providence County, Rhode Island","","619","49","","72","","82","","20","","27","","0","","40","","","","","512","34","54","16433","44","007","018000"
"Census Tract 163, Providence County, Rhode Island","","1577","162","","256","","193","","100","","78","","14","","73","","","","","1513","32","0","66159","44","007","016300"
"Census Tract 13, Providence County, Rhode Island","","1935","145","","213","","313","","81","","194","","88","","84","","26935","11500","3465","1311","203","150","26969","44","007","001300"
"Census Tract 102, Providence County, Rhode Island","66520","3323","357","6900","442","7740","592","11900","188","3525","147","2350","178","1605","75","460","","","","3056","209","0","48839","44","007","010200"
"Census Tract 142, Providence County, Rhode Island","","1099","120","","192","","120","","118","","95","","37","","28","","","","","1078","5","11","75903","44","007","014200"
"Census Tract 302, Bristol County, Rhode Island","","1548","338","","237","","262","","117","","103","","7","","42","","","","","1413","36","0","91458","44","001","030200"
