"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02842","140935","8051","1277","25985","1030","12945","1027","19315","408","5095","635","6830","249","3510","42","380","136360","855","1105","7580","48","30","74022","8356","6868","391","2671","2679","759","368","6868","3761","3107","15936","13425","1062","42","464","489","13914","1335","60","662","118","44","02842"
"ZCTA5 02861","373970","13723","2022","57440","1976","43910","1220","25250","714","19415","707","14900","221","5515","108","1910","","","","13070","374","41","64833","14001","10095","731","4183","3708","1066","407","10095","6171","3924","25622","20305","1911","95","765","1066","21182","2626","240","965","93","44","02861"
"ZCTA5 02906","328255","13797","1449","50670","2185","48650","2073","47685","1569","33195","1686","33885","692","11110","355","6065","210505","73830","6525","9149","1292","117","85270","14861","10687","1267","5123","3321","826","150","10687","5115","5572","27825","21209","1593","33","3193","1309","22392","1948","107","4060","120","44","02906"
"ZCTA5 02905","261025","11076","1485","37925","1440","29135","1547","31625","779","13860","652","12700","567","10390","241","5830","","","","9689","799","163","47942","11545","8880","1177","3889","2775","890","149","8880","4168","4712","26174","15426","4812","176","1109","1246","16318","5501","347","1442","56","44","02905"
"ZCTA5 02815","","207","33","","39","","37","","25","","0","","45","","0","","4475","-666666666","-666666666","207","0","0","194450","207","123","0","41","56","26","0","123","98","25","367","322","0","0","0","45","367","0","0","45","45","44","02815"
"ZCTA5 02831","","1572","280","","253","","256","","168","","79","","0","","0","","","","","1510","46","0","95000","1634","1168","40","327","373","225","203","1168","1006","162","3277","3179","0","0","36","62","3225","16","62","36","0","44","02831"
"ZCTA5 02859","","3764","693","","338","","259","","44","","170","","92","","7","","","","","3514","15","93","87363","3898","2487","105","494","1133","520","235","2487","1826","661","7070","6747","10","0","106","158","6905","50","21","203","0","44","02859"
"ZCTA5 02860","554320","22285","3135","78925","2151","45685","2066","46350","1162","21730","1496","32000","649","22610","219","5395","477220","60500","6810","20569","895","169","43586","22624","18543","3118","8412","5426","1218","369","18543","6745","11798","46363","24155","10707","354","954","2938","25986","12505","1234","1132","134","44","02860"
"ZCTA5 02916","113790","4849","785","15325","893","19170","661","16325","361","4695","324","5780","124","2930","45","945","","","","4665","92","83","80701","5056","3707","218","1267","1665","390","167","3707","2705","1002","9238","8620","245","0","69","235","8802","347","44","170","21","44","02916"
"ZCTA5 02865","213355","8794","1561","38880","1484","32540","1421","38385","749","14825","586","13565","246","4835","148","2190","193890","10175","8590","8415","128","174","92742","8954","6497","354","1967","2632","900","644","6497","4878","1619","17667","16050","237","0","695","360","16410","374","60","858","24","44","02865"
"ZCTA5 02871","209480","8507","1021","31355","1433","30530","1303","28395","673","13275","551","11110","89","2215","112","2645","199640","6045","2625","8135","157","42","102392","8902","7079","273","1848","3354","1092","512","7079","5462","1617","17119","16305","253","0","130","378","16643","361","28","306","78","44","02871"
"ZCTA5 02911","185190","7542","1129","25630","1134","23750","893","26120","397","11730","337","6670","235","5475","85","1195","","","","7040","252","78","60902","7738","6621","645","2651","2584","664","77","6621","3522","3099","15921","13196","1303","30","590","323","13433","1425","160","704","11","44","02911"
"ZCTA5 02809","254490","10293","1582","45275","1148","28980","1157","31470","724","13765","664","14965","356","6710","199","3895","238745","6455","700","9071","132","115","72422","10801","8331","556","2849","3160","1258","508","8331","5616","2715","22172","20890","526","16","360","172","21047","582","73","414","2","44","02809"
