,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
112,"Census Tract 128.01, Providence County, Rhode Island",,2368,565,,322,,163,,112,,129,,38,,0,,2351,1,0,74806,2444,2013,261,554,591,409,198,2013,1280,733,4968,4966,1,0,0,0,4966,1,0,0,0,44,7,12801,,,,,96.19476268412438,0.04091653027823241,12.965722801788376,671.264367816092,36.41331346249379,63.58668653750621,99.9597423510467,0.040257648953301126,2015
113,"Census Tract 130.01, Providence County, Rhode Island",,1789,208,,236,,163,,45,,43,,49,,9,,1782,7,0,83964,1861,1203,10,203,471,336,183,1203,1164,39,3640,3526,8,0,23,83,3608,25,42,24,0,44,7,13001,,,,,95.75497044599678,0.37614185921547555,0.8312551953449709,11930.0,3.2418952618453867,96.75810473815461,96.86813186813187,3.131868131868132,2015
114,"Census Tract 130.02, Providence County, Rhode Island",107835.0,3682,793,23035.0,431,14425.0,235,7435.0,125,2020.0,156,3575.0,126,2130.0,54,735.0,3667,15,0,68696,3827,2837,60,802,1139,625,211,2837,2233,604,7340,7223,28,0,66,23,7246,34,17,66,0,44,7,13002,29.287072243346007,30.604575163398692,26.26388888888889,20.23049645390071,95.81917951397962,0.39195192056441075,2.1149101163200563,4628.333333333333,21.290095170955233,78.70990482904476,98.40599455040872,1.5940054495912805,2015
115,"Census Tract 131.01, Providence County, Rhode Island",76230.0,2270,462,16145.0,185,4715.0,321,8695.0,118,4000.0,53,1070.0,108,3370.0,0,-666666666.0,2219,13,12,80290,2408,1744,68,407,721,271,277,1744,1539,205,4802,4595,35,0,33,97,4692,87,45,33,0,44,7,13101,33.581497797356825,32.24111282843895,28.917995444191344,27.577639751552795,92.15116279069767,0.5398671096345514,3.89908256880734,2464.7058823529414,11.754587155963304,88.2454128440367,95.68929612661391,4.310703873386089,2015
116,"Census Tract 140, Providence County, Rhode Island",,2839,435,,366,,500,,134,,163,,109,,57,,2681,108,0,56098,2888,2210,92,954,893,131,140,2210,1598,612,6015,4700,220,55,624,141,4841,220,55,747,0,44,7,14000,,,,,92.83240997229917,3.739612188365651,4.162895927601809,2302.173913043478,27.692307692307693,72.3076923076923,78.13798836242727,21.862011637572735,2015
117,"Census Tract 144, Providence County, Rhode Island",,1844,275,,150,,398,,146,,153,,28,,0,,1800,44,0,75089,1932,1649,57,759,567,200,66,1649,1159,490,3670,3465,61,0,34,74,3501,111,24,48,14,44,7,14400,,,,,93.16770186335404,2.2774327122153206,3.4566403881140086,2792.982456140351,29.71497877501516,70.28502122498483,94.4141689373297,5.5858310626703,2015
118,"Census Tract 170, Providence County, Rhode Island",,2005,330,,337,,190,,104,,76,,35,,6,,1919,28,6,57161,2061,1726,82,773,636,216,19,1726,1270,456,4340,3293,583,23,100,163,3404,654,51,129,77,44,7,17000,,,,,93.11014070839398,1.3585638039786512,4.750869061413673,2004.8780487804877,26.41946697566628,73.58053302433372,75.87557603686635,24.12442396313364,2015
119,"Census Tract 151, Providence County, Rhode Island",,1810,223,,156,,24,,89,,230,,15,,41,,1572,114,0,22902,1862,1711,520,714,318,121,38,1711,452,1259,4550,1527,1616,0,66,281,1625,1817,81,103,64,44,7,15100,,,,,84.42534908700323,6.122448979591836,30.391583869082407,229.03846153846152,73.58270017533606,26.417299824663935,33.56043956043956,66.43956043956044,2015
120,"Census Tract 154, Providence County, Rhode Island",,1105,95,,83,,138,,49,,39,,45,,29,,1011,43,24,40150,1118,823,98,348,264,94,19,823,182,641,2374,930,866,0,0,175,995,981,48,14,24,44,7,15400,,,,,90.4293381037567,3.8461538461538463,11.907654921020656,739.795918367347,77.88578371810449,22.114216281895505,39.17438921651222,60.82561078348778,2015
121,"Census Tract 160, Providence County, Rhode Island",,1638,291,,256,,140,,126,,80,,10,,12,,1506,92,0,33850,1646,1487,216,926,274,23,48,1487,273,1214,3357,1792,770,100,43,64,1826,800,130,77,34,44,7,16000,,,,,91.49453219927096,5.5893074119076545,14.52589105581708,588.425925925926,81.64088769334231,18.3591123066577,53.38099493595472,46.619005064045275,2015
