,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
26,ZCTA5 02835,,2518,425,,398,,382,,103,,253,,26,,114,,,,,2365,31,0,95175.0,2726,2360,52,2360,1864,496,44,2835,,,,,,,86.7571533382245,1.137197358767425,2.2033898305084745,4438.461538461539,21.01694915254237,78.98305084745762,2015
27,ZCTA5 02813,95635.0,3445,471,17440.0,461,10260.0,374,8520.0,107,2080.0,254,6130.0,76,1855.0,69,970.0,,,,3388,10,17,74826.0,3695,3048,52,3048,2644,404,44,2813,27.760522496371554,29.721030042918454,22.037422037422036,24.196969696969695,,,91.6914749661705,0.2706359945872801,1.7060367454068242,5761.538461538461,13.254593175853019,86.74540682414698,2015
28,ZCTA5 02840,239025.0,11721,1469,39525.0,1509,31910.0,1667,28595.0,808,11025.0,1249,17550.0,443,9365.0,172,2925.0,,,,9280,342,339,57275.0,12355,10728,1845,10728,4441,6287,44,2840,20.392884566163296,23.98757555406313,16.00808080808081,15.907210401891254,,,75.11129097531364,2.7681100768919467,17.197986577181208,481.4634146341463,58.60365398956004,41.39634601043997,2015
29,ZCTA5 02836,,76,15,,17,,0,,0,,0,,0,,0,,1610.0,-666666666.0,-666666666.0,76,0,0,,76,44,17,44,44,0,44,2836,,,,,21.18421052631579,-inf,100.0,0.0,38.63636363636363,158.8235294117647,0.0,100.0,2015
30,ZCTA5 02837,43540.0,1477,288,7015.0,164,4045.0,210,5615.0,66,2115.0,105,1380.0,56,820.0,25,630.0,,,,1358,9,26,78370.0,1782,1640,53,1640,1289,351,44,2837,29.47867298578199,24.469026548672566,28.007246376811594,13.664596273291925,,,76.20650953984287,0.5050505050505051,3.231707317073171,2994.3396226415093,21.402439024390244,78.59756097560975,2015
31,ZCTA5 02858,,421,187,,73,,30,,0,,0,,0,,0,,,,,421,0,0,90583.0,437,235,0,235,128,107,44,2858,,,,,,,96.33867276887872,0.0,0.0,inf,45.53191489361702,54.46808510638298,2015
32,ZCTA5 02882,181710.0,6843,827,23725.0,688,19410.0,1231,29210.0,519,12955.0,538,10810.0,307,6960.0,144,2975.0,,,,6575,76,39,61827.0,7105,6316,258,6316,4175,2141,44,2882,26.55414291977203,28.471947194719473,24.094285714285714,21.02958579881657,,,92.54046446164674,1.0696692470091484,4.084863837872071,2348.062015503876,33.89803673210893,66.10196326789108,2015
33,ZCTA5 02891,219435.0,10024,1270,31920.0,1078,21420.0,1348,22395.0,893,17220.0,617,10170.0,247,4805.0,178,2250.0,,,,9593,103,12,61375.0,10419,9163,641,9163,5715,3448,44,2891,21.890961691939346,22.717206132879046,17.677376171352076,17.332175925925927,,,92.0721758326135,0.9885785584029176,6.995525482920441,1329.4851794071762,37.629597293462844,62.37040270653716,2015
34,ZCTA5 02842,139405.0,7671,1007,16815.0,734,9380.0,1074,16310.0,591,8970.0,720,12010.0,215,2645.0,101,815.0,,,,7194,138,59,64397.0,7994,6414,264,6414,3405,3009,44,2842,18.17298918002868,15.045950603101666,15.183183183183184,15.67379679144385,,,89.99249437077809,1.7262947210407806,4.11599625818522,2329.5454545454545,46.913002806361085,53.08699719363892,2015
35,ZCTA5 02861,291160.0,12444,1412,34125.0,1968,41330.0,1250,29175.0,557,10900.0,563,11460.0,249,4850.0,122,1740.0,271630.0,11760.0,2025.0,11792,254,37,54700.0,12740,10058,644,10058,6234,3824,44,2861,23.397621343619416,22.32396449704142,22.17764250138351,20.086206896551722,23.03510854816825,46.2992125984252,92.55886970172685,1.9937205651491368,6.402863392324518,1461.8012422360248,38.01948697554185,61.98051302445814,2015
36,ZCTA5 02906,292210.0,14026,1321,29330.0,1547,38160.0,2648,55775.0,1508,28890.0,2325,41545.0,726,10675.0,288,4240.0,192120.0,54480.0,8115.0,9258,1112,120,71927.0,15142,10914,1209,10914,5224,5690,44,2906,20.833452160273776,23.53207810320781,20.37175168431184,17.115699770567026,20.751782242384966,48.992805755395686,61.14119667150971,7.343811913881917,11.07751511819681,802.7295285359802,52.13487264064505,47.86512735935496,2015
37,ZCTA5 02905,221250.0,10067,1251,33995.0,1391,26855.0,1130,17895.0,644,10090.0,801,13485.0,462,8495.0,118,1530.0,168010.0,40535.0,7720.0,8095,996,240,37692.0,10469,8610,1253,8610,3998,4612,44,2905,21.977749081156254,23.031794095382285,15.775084554678692,17.40300870942201,20.75478690549722,40.69779116465863,77.32352660234979,9.513802655458974,14.552845528455286,587.1508379888268,53.565621370499414,46.434378629500586,2015
38,ZCTA5 02806,197545.0,7375,1362,35725.0,1258,36590.0,1238,31505.0,709,14845.0,585,12780.0,206,3810.0,56,1140.0,182755.0,13440.0,780.0,7005,225,0,108776.0,7916,6235,225,6235,5499,736,44,2806,26.785762711864407,27.60114503816794,23.805855161787367,20.97345132743363,26.08922198429693,59.733333333333334,88.49166245578574,2.842344618494189,3.608660785886127,2671.1111111111113,11.804330392943063,88.19566960705694,2015
