"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 507, Washington County, Rhode Island","","4267","824","","494","","575","","86","","242","","37","","140","","","","","4226","0","41","90134","44","009","050700"
"Census Tract 508.01, Washington County, Rhode Island","","2936","503","","376","","172","","310","","134","","59","","4","","","","","2712","49","32","44659","44","009","050801"
"Census Tract 510, Washington County, Rhode Island","","630","94","","51","","102","","57","","65","","18","","1","","","","","531","55","38","79097","44","009","051000"
"Census Tract 509.01, Washington County, Rhode Island","","2977","298","","366","","346","","107","","101","","22","","123","","","","","2902","57","7","81000","44","009","050901"
"Census Tract 503.02, Washington County, Rhode Island","43330","1242","177","8690","135","3810","218","5440","138","3415","136","3035","0","-666666666","0","-666666666","","","","1164","18","36","87022","44","009","050302"
"Census Tract 210.01, Kent County, Rhode Island","","1334","252","","137","","196","","138","","25","","0","","9","","","","","1296","14","0","74762","44","003","021001"
"Census Tract 210.02, Kent County, Rhode Island","","2736","336","","390","","301","","203","","200","","73","","43","","","","","2704","32","0","80417","44","003","021002"
"Census Tract 9800, Kent County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","003","980000"
"Census Tract 417.01, Newport County, Rhode Island","","1809","423","","254","","286","","41","","106","","108","","19","","","","","1793","6","10","80625","44","005","041701"
"Census Tract 417.02, Newport County, Rhode Island","","2149","283","","311","","295","","75","","63","","75","","14","","","","","2118","0","18","83372","44","005","041702"
"Census Tract 9900, Newport County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","005","990000"
"Census Tract 21.01, Providence County, Rhode Island","","1389","236","","228","","98","","20","","75","","66","","22","","","","","1296","62","19","64271","44","007","002101"
"Census Tract 21.02, Providence County, Rhode Island","","2862","464","","211","","448","","95","","113","","69","","88","","","","","2602","203","0","55887","44","007","002102"
"Census Tract 119.01, Providence County, Rhode Island","","1765","272","","267","","278","","75","","180","","0","","0","","","","","1681","84","0","65250","44","007","011901"
"Census Tract 119.02, Providence County, Rhode Island","","2053","436","","275","","404","","48","","72","","37","","93","","","","","2037","0","0","62414","44","007","011902"
"Census Tract 121.03, Providence County, Rhode Island","","1311","293","","165","","197","","122","","96","","27","","4","","","","","1248","11","44","49013","44","007","012103"
"Census Tract 101.02, Providence County, Rhode Island","","1697","299","","349","","221","","134","","73","","61","","10","","","","","1636","30","22","72928","44","007","010102"
"Census Tract 106, Providence County, Rhode Island","","3135","435","","533","","518","","152","","127","","76","","58","","","","","3081","22","0","53206","44","007","010600"
"Census Tract 112, Providence County, Rhode Island","","3207","615","","212","","217","","83","","18","","33","","24","","","","","3110","87","0","58286","44","007","011200"
"Census Tract 116, Providence County, Rhode Island","","3347","740","","602","","614","","275","","179","","42","","63","","","","","3181","34","96","109863","44","007","011600"
"Census Tract 120, Providence County, Rhode Island","","2577","208","","569","","284","","230","","250","","15","","20","","","","","2308","190","26","67289","44","007","012000"
"Census Tract 127.02, Providence County, Rhode Island","66555","2310","467","14170","361","7560","200","3655","127","2115","90","1680","66","1415","39","855","","","","2284","17","8","84885","44","007","012702"
"Census Tract 128.03, Providence County, Rhode Island","72985","2234","327","10500","202","6145","246","7330","125","2800","197","6200","56","460","36","1300","","","","2185","22","27","92052","44","007","012803"
"Census Tract 134, Providence County, Rhode Island","","2078","268","","406","","431","","235","","278","","97","","0","","","","","1833","146","85","90013","44","007","013400"
"Census Tract 141, Providence County, Rhode Island","41865","1933","280","7280","198","4075","130","2810","107","1830","142","4740","50","905","104","2220","","","","1800","26","26","38833","44","007","014100"
"Census Tract 145.02, Providence County, Rhode Island","","2165","232","","540","","402","","80","","178","","15","","40","","","","","2133","0","4","63539","44","007","014502"
"Census Tract 161, Providence County, Rhode Island","62550","2341","195","3535","266","5015","151","4450","114","2730","129","3465","71","4760","44","1030","","","","2127","98","0","41835","44","007","016100"
"Census Tract 165, Providence County, Rhode Island","","2118","397","","333","","206","","185","","150","","125","","7","","43030","6600","670","1904","108","10","77639","44","007","016500"
"Census Tract 173, Providence County, Rhode Island","","1414","191","","174","","153","","46","","56","","0","","12","","","","","1292","65","57","64000","44","007","017300"
"Census Tract 185, Providence County, Rhode Island","34920","1285","235","7270","173","3990","90","3410","0","-666666666","57","860","29","300","0","-666666666","","","","1226","13","0","54583","44","007","018500"
"Census Tract 4, Providence County, Rhode Island","","1648","157","","353","","132","","71","","71","","41","","3","","","","","1485","138","11","29774","44","007","000400"
"Census Tract 10, Providence County, Rhode Island","","796","80","","120","","80","","75","","71","","45","","28","","","","","656","60","0","26580","44","007","001000"
"Census Tract 24, Providence County, Rhode Island","","3162","572","","495","","493","","201","","229","","156","","20","","","","","2637","202","32","84150","44","007","002400"
"Census Tract 32, Providence County, Rhode Island","","1692","285","","291","","246","","148","","177","","71","","51","","33210","8010","1005","1374","145","18","91288","44","007","003200"
"Census Tract 136, Providence County, Rhode Island","","1517","213","","145","","138","","67","","126","","34","","0","","","","","1404","83","0","77436","44","007","013600"
"Census Tract 124.02, Providence County, Rhode Island","","1243","118","","158","","116","","32","","104","","17","","29","","","","","1243","0","0","62685","44","007","012402"
"Census Tract 133, Providence County, Rhode Island","","2454","484","","234","","191","","97","","187","","9","","79","","","","","2363","45","8","89844","44","007","013300"
"Census Tract 148, Providence County, Rhode Island","","3098","548","","449","","495","","231","","297","","18","","16","","","","","2959","41","0","73348","44","007","014800"
"Census Tract 17, Providence County, Rhode Island","","1659","417","","244","","119","","49","","54","","0","","48","","","","","1624","1","34","48831","44","007","001700"
"Census Tract 18, Providence County, Rhode Island","","2481","491","","290","","472","","0","","227","","14","","0","","45580","3585","1600","2306","95","27","34947","44","007","001800"
"Census Tract 19, Providence County, Rhode Island","","1559","115","","141","","419","","11","","139","","38","","124","","","","","1383","73","24","30651","44","007","001900"
"Census Tract 20, Providence County, Rhode Island","60970","2510","404","9570","152","3415","371","8870","103","1995","101","1485","147","1610","137","1900","","","","2150","43","82","29798","44","007","002000"
"Census Tract 121.04, Providence County, Rhode Island","","2122","408","","264","","240","","38","","85","","11","","18","","","","","2112","0","0","54206","44","007","012104"
"Census Tract 512.01, Washington County, Rhode Island","","2508","369","","245","","417","","144","","160","","135","","3","","","","","2337","29","66","88889","44","009","051201"
"Census Tract 9901, Washington County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","009","990100"
"Census Tract 9902, Washington County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","009","990200"
"Census Tract 512.02, Washington County, Rhode Island","","2507","273","","253","","463","","284","","134","","155","","0","","","","","2261","106","40","77593","44","009","051202"
"Census Tract 513.05, Washington County, Rhode Island","","1679","310","","275","","201","","246","","87","","42","","16","","","","","1630","36","0","81350","44","009","051305"
"Census Tract 513.06, Washington County, Rhode Island","","2958","440","","548","","193","","100","","377","","127","","34","","","","","2819","0","0","120577","44","009","051306"
"Census Tract 209.04, Kent County, Rhode Island","","1341","258","","318","","196","","94","","132","","33","","20","","","","","1296","19","26","138875","44","003","020904"
"Census Tract 214.01, Kent County, Rhode Island","52215","2162","446","12230","275","6345","188","4565","70","905","75","955","149","3420","0","-666666666","","","","2126","9","0","87083","44","003","021401"
"Census Tract 215.01, Kent County, Rhode Island","40885","1521","281","6870","150","4010","159","3375","85","1910","66","1820","40","1100","0","-666666666","","","","1491","0","11","69508","44","003","021501"
