"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 22, Providence County, Rhode Island","","1630","169","","178","","221","","78","","68","","38","","9","","1433","88","32","29828","1703","1565","270","759","394","94","48","1565","451","1114","4967","1950","999","199","149","252","2102","1220","216","149","0","44","007","002200"
"Census Tract 23, Providence County, Rhode Island","","2363","168","","366","","376","","161","","162","","26","","6","","1960","213","0","53922","2458","1883","217","695","665","109","197","1883","988","895","5629","4169","527","0","89","147","4304","628","16","89","0","44","007","002300"
"Census Tract 24, Providence County, Rhode Island","","3456","382","","489","","474","","170","","165","","79","","136","","2676","192","62","58407","3636","2117","72","923","819","223","80","2117","1571","546","8234","6858","961","13","29","98","6956","984","13","70","14","44","007","002400"
"Census Tract 25, Providence County, Rhode Island","","1576","216","","264","","305","","76","","101","","32","","0","","1114","212","13","48594","1624","1311","213","851","188","42","17","1311","256","1055","2919","1327","243","24","310","56","1383","243","80","310","0","44","007","002500"
"Census Tract 26, Providence County, Rhode Island","","1155","126","","71","","181","","71","","130","","48","","0","","809","228","20","24135","1218","1210","306","513","291","80","20","1210","248","962","3159","1183","875","8","346","97","1256","936","30","357","23","44","007","002600"
"Census Tract 27, Providence County, Rhode Island","","1744","156","","295","","198","","64","","145","","83","","34","","1246","111","0","19173","1803","1571","453","700","294","64","60","1571","393","1178","5397","2651","950","35","66","211","2851","1039","132","66","19","44","007","002700"
"Census Tract 28, Providence County, Rhode Island","","2361","410","","335","","315","","115","","19","","95","","55","","2102","132","15","36341","2372","2490","660","977","646","182","25","2490","986","1504","6284","3603","1818","11","19","90","3667","1859","62","19","0","44","007","002800"
"Census Tract 29, Providence County, Rhode Island","","3287","441","","219","","493","","103","","230","","34","","65","","2963","182","39","34365","3287","2971","452","1270","894","318","37","2971","1329","1642","6950","3528","1779","0","244","330","3788","2013","24","269","0","44","007","002900"
"Census Tract 31, Providence County, Rhode Island","","1390","179","","106","","140","","198","","140","","35","","15","","915","175","35","25288","1461","2048","607","984","377","66","14","2048","377","1671","3953","2041","1001","33","521","121","2134","1040","55","542","0","44","007","003100"
"Census Tract 32, Providence County, Rhode Island","","1716","197","","243","","231","","267","","212","","170","","19","","1334","180","22","62716","1802","1571","150","732","626","44","19","1571","786","785","3457","2369","384","0","155","306","2625","447","281","155","0","44","007","003200"
"Census Tract 33, Providence County, Rhode Island","","2558","459","","542","","417","","283","","204","","37","","166","","2207","184","44","70667","2608","1886","68","892","787","103","36","1886","1116","770","3952","3201","113","0","302","266","3467","192","20","450","0","44","007","003300"
"Census Tract 34, Providence County, Rhode Island","","2415","239","","405","","461","","206","","255","","113","","15","","2241","63","0","117212","2608","2065","105","754","987","164","55","2065","1564","501","4926","4532","88","0","189","117","4632","105","0","289","0","44","007","003400"
"Census Tract 35, Providence County, Rhode Island","","2894","289","","279","","821","","383","","325","","26","","88","","1767","404","25","58314","3028","2488","287","1264","777","122","38","2488","942","1546","4855","4082","248","0","378","147","4213","332","28","441","0","44","007","003500"
"Census Tract 36.01, Providence County, Rhode Island","21175","1142","95","3965","52","1335","141","2590","147","2130","168","2590","64","820","80","1390","507","110","0","42069","1235","912","221","400","144","129","18","912","327","585","2308","1560","54","66","382","171","1647","138","81","485","0","44","007","003601"
"Census Tract 36.02, Providence County, Rhode Island","","2061","34","","315","","86","","272","","277","","191","","27","","461","51","31","60938","2422","688","140","206","267","40","35","688","349","339","6710","4841","475","13","1018","220","5054","505","26","1181","0","44","007","003602"
"Census Tract 37, Providence County, Rhode Island","","2093","248","","250","","235","","270","","284","","72","","6","","1323","148","26","39042","2180","1877","320","991","438","103","25","1877","582","1295","3691","2864","139","0","471","101","2949","155","0","490","0","44","007","003700"
"Census Tract 101.01, Providence County, Rhode Island","40180","2007","248","5530","168","2955","279","5250","222","3750","95","4195","75","1220","0","-666666666","1918","49","0","51949","2124","1604","74","583","681","194","72","1604","1076","528","3926","3622","80","0","10","64","3686","95","10","10","0","44","007","010101"
"Census Tract 101.02, Providence County, Rhode Island","","1582","306","","213","","258","","88","","60","","37","","0","","1532","40","0","70543","1626","1599","126","636","561","251","25","1599","1115","484","3556","3292","77","40","0","122","3402","113","116","0","0","44","007","010102"
"Census Tract 102, Providence County, Rhode Island","60780","3626","406","5350","387","6405","333","3595","182","1840","115","1270","52","380","91","2200","3534","26","0","46520","3640","2839","367","1119","979","314","60","2839","1227","1612","6686","5454","417","29","72","287","5622","528","217","113","0","44","007","010200"
"Census Tract 103, Providence County, Rhode Island","","2043","226","","286","","299","","96","","26","","87","","5","","1954","20","0","48774","2063","1756","240","541","625","220","130","1756","1122","634","4284","3448","410","19","59","212","3550","539","71","68","0","44","007","010300"
"Census Tract 104, Providence County, Rhode Island","","3190","327","","475","","410","","189","","50","","19","","13","","3028","89","33","45079","3190","2875","263","1143","1029","321","119","2875","1284","1591","6866","5792","583","7","47","387","5896","935","168","63","35","44","007","010400"
"Census Tract 105.01, Providence County, Rhode Island","","1827","190","","333","","191","","77","","139","","16","","22","","1808","19","0","44079","1845","1836","115","857","635","196","33","1836","1083","753","4543","3486","394","0","52","400","3696","752","158","52","38","44","007","010501"
"Census Tract 105.02, Providence County, Rhode Island","","2388","202","","399","","475","","144","","291","","111","","0","","2251","74","11","54922","2388","2211","189","996","809","175","42","2211","1037","1174","4868","4194","319","7","123","180","4374","368","136","139","0","44","007","010502"
"Census Tract 106, Providence County, Rhode Island","","2934","388","","325","","341","","172","","128","","101","","28","","2771","97","13","45536","2993","2712","197","1244","914","274","83","2712","1623","1089","5976","5410","29","51","77","318","5728","80","219","77","0","44","007","010600"
"Census Tract 107.01, Providence County, Rhode Island","","1112","123","","187","","136","","63","","62","","14","","0","","1078","20","0","61023","1213","1004","33","347","407","172","45","1004","795","209","2509","2456","0","0","0","38","2480","14","14","0","0","44","007","010701"
"Census Tract 107.02, Providence County, Rhode Island","","2239","497","","296","","203","","160","","100","","28","","28","","2208","22","0","57639","2297","1835","172","608","746","250","59","1835","1544","291","4277","4000","99","15","33","112","4112","184","26","39","0","44","007","010702"
"Census Tract 108, Providence County, Rhode Island","","1322","165","","34","","118","","58","","52","","69","","28","","1068","71","94","23494","1395","1701","515","707","450","16","13","1701","400","1301","3977","2676","853","31","0","48","2701","884","48","0","0","44","007","010800"
"Census Tract 109, Providence County, Rhode Island","","2130","281","","67","","196","","81","","55","","33","","57","","1579","21","233","39815","2130","1610","324","676","476","66","68","1610","367","1243","4795","3674","277","0","32","138","3792","406","0","32","9","44","007","010900"
"Census Tract 110, Providence County, Rhode Island","","2713","321","","159","","428","","157","","96","","9","","10","","2012","150","487","38988","2766","1962","422","748","574","204","14","1962","498","1464","6180","4846","463","0","0","141","4923","561","0","0","0","44","007","011000"
"Census Tract 111, Providence County, Rhode Island","","1570","351","","51","","79","","11","","36","","35","","0","","1359","0","128","30000","1602","1348","276","584","365","90","33","1348","390","958","4439","2455","1022","0","54","109","2564","1106","15","54","0","44","007","011100"
"Census Tract 112, Providence County, Rhode Island","","2591","295","","431","","123","","259","","58","","57","","22","","2513","0","46","40532","2616","2214","128","898","845","228","115","2214","1191","1023","5525","5137","328","0","7","42","5157","350","0","7","0","44","007","011200"
"Census Tract 113.01, Providence County, Rhode Island","","2307","282","","269","","256","","153","","192","","34","","0","","2249","50","8","63950","2338","1719","130","593","729","150","117","1719","1119","600","4425","4185","130","0","31","79","4252","141","0","67","12","44","007","011301"
"Census Tract 113.02, Providence County, Rhode Island","","2004","352","","251","","304","","200","","86","","28","","25","","1974","17","0","80069","2168","1492","60","393","640","232","167","1492","1388","104","4170","4095","0","0","13","43","4138","20","5","13","0","44","007","011302"
"Census Tract 114.01, Providence County, Rhode Island","","3776","486","","823","","513","","163","","277","","43","","0","","3634","60","62","90089","3855","3139","225","747","1390","506","271","3139","2530","609","7971","7289","15","27","388","151","7414","52","47","501","18","44","007","011401"
"Census Tract 114.02, Providence County, Rhode Island","","2163","284","","393","","387","","254","","79","","8","","24","","2079","47","14","100676","2206","1456","31","244","747","308","126","1456","1383","73","4171","4026","0","0","82","28","4054","8","0","91","0","44","007","011402"
"Census Tract 114.03, Providence County, Rhode Island","","3298","521","","575","","512","","185","","118","","44","","0","","3115","54","129","69366","3370","2964","99","1022","1325","302","216","2964","2408","556","7029","6792","0","92","11","63","6815","40","92","34","0","44","007","011403"
