,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
10,ZCTA5 02808,,1083,284,,34,,125,,122,,104,,22,,20,,,,,1059,0,24,74500,1083,764,0,764,540,224,2312,2220,61,0,0,0,2220,61,0,0,0,44,2808,,,,,,,97.78393351800554,0.0,0.0,inf,29.31937172774869,70.68062827225131,96.02076124567473,3.9792387543252596,2019
11,ZCTA5 02812,,608,100,,79,,108,,0,,18,,0,,0,,,,,608,0,0,113221,634,403,0,403,374,29,1207,1087,88,0,0,32,1119,120,0,0,0,44,2812,,,,,,,95.89905362776025,0.0,0.0,inf,7.196029776674938,92.80397022332507,90.05799502899751,9.942004971002486,2019
12,ZCTA5 02818,220295.0,8470,1410,39580.0,1628,41885.0,1281,30015.0,681,12580.0,538,11705.0,166,4045.0,62,1285.0,209355.0,8315.0,1815.0,8186,130,59,102621,9023,7599,554,7599,5611,1988,18292,16493,192,141,815,526,16989,370,340,985,38,44,2818,26.008854781582055,26.815339038841344,21.70998980632008,22.37215909090909,25.574761788419252,63.96153846153846,90.72370608445085,1.4407624958439544,7.2904329517041715,1271.6606498194944,26.161337018028686,73.83866298197131,90.16509949704789,9.83490050295211,2019
13,ZCTA5 02825,,3136,604,,261,,245,,54,,191,,9,,79,,,,,3045,45,8,87829,3329,2031,49,2031,1734,297,5768,5530,26,0,13,199,5729,59,104,75,0,44,2825,,,,,,,91.46890958245719,1.3517572844698107,2.4126046282619398,4044.8979591836733,14.623338257016247,85.37666174298376,95.87378640776699,4.12621359223301,2019
14,ZCTA5 02827,42105.0,1216,188,7130.0,128,4580.0,115,2930.0,39,1210.0,44,1025.0,63,2040.0,43,835.0,,,,1176,0,16,82946,1229,857,4,857,838,19,2202,2151,9,0,25,17,2161,26,0,25,0,44,2827,34.625822368421055,37.05696202531646,26.883116883116884,28.64485981308411,,,95.68755085435313,0.0,0.4667444574095682,21325.0,2.2170361726954493,97.78296382730454,97.68392370572208,2.316076294277929,2019
15,ZCTA5 02857,,4481,967,,588,,732,,145,,290,,161,,73,,,,,4365,28,6,96004,4713,3159,66,3159,2828,331,8206,8009,43,0,96,45,8054,66,22,96,0,44,2857,,,,,,,92.61616804583068,0.5941014215998303,2.089268755935423,4686.363636363637,10.477999366888255,89.52200063311174,97.59931757250793,2.400682427492079,2019
16,ZCTA5 02881,,2591,175,,186,,162,,177,,310,,55,,108,,,,,1806,49,0,79111,2723,1044,82,1044,651,393,7629,6475,404,24,400,188,6600,500,49,524,11,44,2881,,,,,,,66.32390745501286,1.7994858611825193,7.854406130268199,1173.1707317073171,37.64367816091954,62.356321839080465,84.87350897889631,15.126491021103682,2019
17,ZCTA5 02898,,793,291,,24,,84,,0,,15,,64,,10,,24760.0,-666666666.0,-666666666.0,793,0,0,77917,834,581,20,581,390,191,1289,1236,0,0,53,0,1236,0,0,53,0,44,2898,,,,,31.223203026481716,-inf,95.08393285371703,0.0,3.4423407917383817,2805.0,32.87435456110155,67.12564543889845,95.88828549262995,4.1117145073700545,2019
18,ZCTA5 02907,274820.0,12000,1273,26915.0,1308,26515.0,1507,24410.0,762,13620.0,384,7465.0,482,14025.0,218,8770.0,,,,10458,1080,128,39877,12840,9362,1508,9362,2730,6632,31294,11534,6672,768,2186,1963,12673,7920,1148,2703,49,44,2907,22.901666666666667,20.70127857419605,16.760687527545173,24.81524249422633,,,81.44859813084112,8.411214953271028,16.10766930143132,520.8222811671088,70.83956419568467,29.160435804315316,36.85690547708826,63.14309452291174,2019
19,ZCTA5 02806,207870.0,7667,1526,45065.0,1326,35875.0,1178,30455.0,659,15100.0,495,11975.0,293,6675.0,68,2145.0,,,,7333,230,0,125125,8222,6051,121,6051,5365,686,16153,14989,81,18,601,441,15406,180,66,910,0,44,2806,27.112299465240643,28.38008415147265,24.79858464888405,23.66751269035533,,,89.18754560934079,2.7973729019703235,1.9996694761196496,4900.826446280992,11.336969096017187,88.66303090398281,92.79390825233703,7.206091747662972,2019
20,ZCTA5 02816,460120.0,16123,2324,65195.0,2114,66380.0,1754,47765.0,732,18935.0,870,20055.0,205,3400.0,229,3890.0,,,,15790,94,91,72471,16710,13338,454,13338,10157,3181,32738,31110,174,17,310,662,31648,665,283,334,7,44,2816,28.53811325435713,29.64736367733213,26.830249396621078,21.81860465116279,,,94.49431478156792,0.5625374027528427,3.4038086669665617,2837.885462555066,23.849152796521217,76.15084720347878,95.02718553363064,4.972814466369357,2019
21,ZCTA5 02828,103775.0,3600,719,20665.0,534,10905.0,296,5625.0,248,5085.0,244,4310.0,75,1460.0,39,855.0,,,,3574,17,8,86772,3756,3020,346,3020,2479,541,7592,7156,1,0,142,172,7302,47,56,215,0,44,2828,28.82638888888889,25.195530726256983,19.6875,18.087774294670847,,,95.15441959531417,0.45260915867944623,11.456953642384105,772.8323699421966,17.913907284768214,82.08609271523179,94.25711275026345,5.742887249736564,2019
22,ZCTA5 02832,,2414,547,,300,,340,,26,,127,,29,,91,,80565.0,-666666666.0,-666666666.0,2414,0,0,80128,2482,1919,50,1919,1563,356,4795,4586,45,0,91,59,4645,78,0,91,0,44,2832,,,,,33.37406793703397,-inf,97.26027397260275,0.0,2.6055237102657633,3738.0000000000005,18.551328817092237,81.44867118290776,95.64129301355578,4.358706986444213,2019
