"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02816","440305","16365","2577","68480","2235","60605","1619","39770","696","17380","1027","21420","317","11960","224","5200","","","","16172","81","25","65521","16770","13084","610","13084","10304","2780","32695","31697","209","0","195","533","32124","540","129","349","49","44","02816"
"ZCTA5 02828","","3577","474","","529","","633","","223","","110","","80","","9","","","","","3506","29","8","73214","3613","2940","206","2940","2369","571","7492","7191","121","0","89","81","7268","148","5","127","0","44","02828"
"ZCTA5 02832","","2580","453","","217","","330","","89","","72","","19","","51","","86075","-666666666","-666666666","2580","0","0","71042","2701","2028","145","2028","1392","636","5006","4797","93","0","42","48","4845","93","0","77","0","44","02832"
"ZCTA5 02838","","1922","289","","214","","74","","66","","240","","0","","0","","","","","1906","16","0","58226","1995","1425","15","1425","763","662","3878","3662","145","6","0","65","3727","191","12","13","0","44","02838"
"ZCTA5 02864","465690","17260","2760","87580","2281","52515","2025","48065","1274","25680","1190","22520","360","6590","41","520","","","","16251","505","311","75362","17821","13362","1053","13362","9920","3442","34003","32143","246","31","673","414","32476","411","92","861","0","44","02864"
"ZCTA5 02878","216995","7835","1275","36015","1165","27775","939","20235","340","7710","578","15055","169","3445","108","2330","","","","7702","59","37","71901","8076","6670","249","6670","5293","1377","15818","15353","133","0","51","222","15575","244","33","123","6","44","02878"
"ZCTA5 02892","","2257","441","","254","","158","","95","","284","","0","","76","","","","","2216","4","33","90905","2365","1749","0","1749","1601","148","4434","4122","73","44","1","79","4201","152","59","1","0","44","02892"
"ZCTA5 02893","331840","14587","1602","41970","2015","38965","1920","41025","764","11795","737","20560","329","6875","285","4495","","","","14034","316","32","49622","15055","12964","1201","12964","6709","6255","29561","26468","713","17","1007","722","27092","1089","176","1231","74","44","02893"
"ZCTA5 02895","444430","17075","1938","49725","1624","36995","1426","27920","637","11855","943","20630","565","10965","272","6900","397350","14675","16545","15306","257","841","36420","17513","17324","3273","17324","6642","10682","41213","33523","3157","86","2782","1045","34449","3733","229","2981","0","44","02895"
"ZCTA5 02910","217265","10106","1552","37755","1401","31865","1326","24700","525","8310","824","12350","344","5170","194","2590","201245","12815","-666666666","9642","254","0","58163","10354","7801","378","7801","5306","2495","20613","16159","990","60","2007","588","16694","1272","118","2250","26","44","02910"
"ZCTA5 02914","206630","9795","1118","29755","1292","22670","1339","25185","526","9410","666","12015","366","5155","189","2170","","","","9029","557","56","45295","9848","8768","1156","8768","4276","4492","21971","16158","2243","39","498","1923","17318","3676","484","541","151","44","02914"
"ZCTA5 02915","176895","7681","1317","31245","1135","25595","840","16530","688","14950","324","6000","224","5245","29","340","","","","7463","100","28","53750","7872","7343","573","7343","4605","2738","16515","14866","459","22","633","476","15255","562","95","838","0","44","02915"
"ZCTA5 02921","","6398","937","","983","","1178","","434","","530","","98","","33","","","","","6244","92","20","98666","6573","4217","130","4217","3585","632","12217","10875","310","19","602","233","11108","381","52","764","0","44","02921"
"ZCTA5 02919","326505","14843","2126","51390","2044","41975","2142","40255","1026","24790","1023","19135","214","6015","123","2750","","","","14569","122","71","58634","15117","11765","744","11765","8080","3685","29122","26221","595","204","875","792","26938","1034","505","954","0","44","02919"
"ZCTA5 02815","","103","26","","14","","28","","0","","0","","18","","0","","","","","103","0","0","","103","62","0","62","62","0","130","112","0","0","0","18","130","0","0","18","18","44","02815"
"ZCTA5 02831","","1580","327","","195","","260","","22","","130","","50","","0","","","","","1551","18","11","86696","1625","1266","30","1266","1127","139","3191","3149","1","23","0","18","3167","1","41","0","0","44","02831"
"ZCTA5 02859","","3104","519","","324","","146","","108","","130","","68","","9","","","","","2925","32","19","61204","3173","2460","65","2460","1758","702","7059","6775","28","0","45","166","6937","85","67","88","0","44","02859"
"ZCTA5 02860","474830","19978","2822","75920","2021","40530","1840","35760","1172","26270","1152","26645","433","10355","318","7330","400300","56905","7180","17832","1049","244","35953","20218","17973","3602","17973","6046","11927","45372","25297","10411","147","673","2373","26801","11985","728","908","232","44","02860"
"ZCTA5 02916","","4336","585","","928","","595","","429","","178","","107","","26","","","","","4174","74","60","63717","4422","3657","222","3657","2456","1201","8656","7770","399","0","155","255","7990","560","93","198","5","44","02916"
"ZCTA5 02865","179575","7814","1228","30950","1099","23515","1372","29315","552","11255","504","8745","129","1580","166","4180","","","","7508","152","113","72301","8032","6335","315","6335","4663","1672","16513","15052","364","13","436","408","15450","418","127","611","0","44","02865"
"ZCTA5 02871","171755","7631","801","19395","1116","20970","1324","26065","640","12320","396","6670","305","5265","132","3780","163060","3735","1320","7159","109","90","75303","7860","6916","417","6916","5159","1757","17127","16215","185","0","330","384","16534","297","159","459","8","44","02871"
"ZCTA5 02911","186625","7821","1267","30855","1004","20030","1027","21550","677","14060","284","5230","233","6900","59","750","169420","14000","1300","7351","248","51","52997","8130","6685","617","6685","3824","2861","15754","13848","646","244","509","377","14186","755","297","713","3","44","02911"
"ZCTA5 02809","253840","10174","1400","44770","1349","34940","1066","24745","510","10135","608","10720","419","8090","201","3545","","","","9199","137","96","62493","10672","8389","569","8389","5622","2767","22364","21194","468","13","337","231","21409","523","111","380","45","44","02809"
"ZCTA5 02830","","2975","530","","365","","224","","162","","156","","112","","27","","","","","2924","15","0","62904","3130","2547","131","2547","1839","708","6314","6182","28","0","42","62","6244","34","32","42","0","44","02830"
"ZCTA5 02839","","782","124","","88","","53","","0","","12","","30","","27","","","","","782","0","0","61023","782","567","7","567","436","131","1445","1421","0","0","24","0","1421","0","0","24","0","44","02839"
"ZCTA5 02875","","268","58","","80","","13","","14","","0","","0","","0","","","","","268","0","0","85096","268","173","0","173","83","90","426","412","0","0","0","14","426","0","14","0","0","44","02875"
"ZCTA5 02807","","331","77","","57","","37","","10","","49","","0","","2","","","","","286","7","0","84750","479","426","19","426","330","96","906","864","7","0","15","12","876","10","9","15","0","44","02807"
"ZCTA5 02852","251520","10813","1350","34195","1776","39950","1631","36820","880","20855","763","13415","337","5425","116","1885","240040","8275","1355","10409","198","38","75746","11312","8960","557","8960","6370","2590","22358","20453","357","186","707","438","20878","357","217","1109","87","44","02852"
"ZCTA5 02879","231570","9340","1597","43730","1409","33160","1342","30060","625","11420","604","11110","245","8300","197","1850","211950","13240","3890","8779","159","128","70076","9829","8248","671","8248","6037","2211","20358","18828","299","484","254","396","19179","479","560","300","0","44","02879"
"ZCTA5 02886","315170","13606","1819","48650","2085","46630","1954","39040","1134","22775","1162","27675","154","2270","191","2765","297905","13130","2940","13093","218","91","66598","14024","12427","825","12427","8390","4037","28330","26413","132","15","666","688","27075","289","221","914","8","44","02886"
"ZCTA5 02889","361265","14011","2123","54285","1709","46880","1374","32780","785","14585","790","17425","412","10245","118","3390","","","","13750","141","23","66618","14318","11158","583","11158","8560","2598","27915","26096","444","112","511","520","26564","683","354","572","0","44","02889"
"ZCTA5 02874","","3200","663","","476","","453","","239","","246","","56","","0","","","","","3076","35","30","120139","3355","2329","0","2329","2104","225","6621","6411","62","0","54","33","6444","87","8","54","0","44","02874"
"ZCTA5 02885","130330","5293","964","26215","601","12990","433","11220","316","5175","269","5595","168","3560","158","3620","","","","4858","183","21","54886","5399","4666","360","4666","2561","2105","10532","10340","27","0","44","109","10449","38","55","82","5","44","02885"
"ZCTA5 02888","232805","10427","1304","31495","1351","26830","1526","34695","736","14610","376","9025","393","7935","103","1590","226750","4700","865","10235","79","34","61582","10510","8555","648","8555","6267","2288","20010","17528","510","0","765","347","17864","610","85","831","0","44","02888"
"ZCTA5 02894","","471","81","","12","","13","","82","","0","","13","","0","","","","","471","0","0","95945","471","290","0","290","203","87","755","726","0","0","29","0","726","0","0","29","0","44","02894"
"ZCTA5 02903","100630","4978","314","9760","441","7065","673","11155","520","7020","516","6740","214","2815","221","2590","49550","19270","13255","2439","432","108","30292","5359","4607","1811","4607","799","3808","10440","7083","1021","136","1251","321","7302","1224","257","1315","19","44","02903"
"ZCTA5 02908","364580","16264","1772","47960","1556","31750","2162","43450","910","16440","1290","22555","883","15045","231","5380","","","","13796","1043","121","44536","16965","12310","1561","12310","5198","7112","38132","21490","7431","575","1898","1633","22713","8565","1185","2118","14","44","02908"
"ZCTA5 02920","341890","15538","2478","61350","1938","41145","2248","49610","1062","16400","1067","16560","577","10970","213","3760","","","","14900","414","48","48672","15937","14358","1185","14358","8576","5782","38117","30332","2188","407","1795","1426","31215","3058","785","2181","58","44","02920"
